Board,RefDes,Qty,Manufacturer,MPN,Description,UnitPrice,Currency,Supplier,ExtPrice,BuyURL,AssemblyScope,Notes
Ext Routing,U201,1,Texas Instruments,OPA1679IDR,"Quad audio op amp",1.52,USD,DigiKey,1.52,https://www.digikey.com/en/products/detail/texas-instruments/OPA1679IDR/7034963,SMD,"Routing buffers summing and makeup"
Ext Routing,K201-K204,4,Omron Electronics,G6K-2F-Y-DC5,"DPDT low-signal relay, 5V coil",4.89,USD,Mouser,19.56,https://www.mouser.com/ProductDetail/Omron-Electronics/G6K-2F-Y-DC5?qs=SXIVkn%252Bm38kNKs%252BIzeJTSg%3D%3D,SMD,"Off / Series / Parallel switching"
Ext Routing,P201,1,JST Sales America Inc.,B3B-XH-A,"3-position 2.50mm through-hole header",0.15,USD,DigiKey,0.15,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-XH-A/1651046,TH,"Wet input"
Ext Routing,P202-P203,2,JST Sales America Inc.,B6B-XH-A,"6-position 2.50mm through-hole header",0.24,USD,DigiKey,0.48,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-XH-A/1000381,TH,"Primary and secondary tank bundles"
Ext Routing,P204-P205,2,JST Sales America Inc.,B3B-XH-A,"3-position 2.50mm through-hole header",0.15,USD,DigiKey,0.30,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-XH-A/1651046,TH,"Routed output and feedback reinjection"
Ext Routing,P207,1,JST Sales America Inc.,B4P-VH-B,"4-position 3.96mm through-hole header",0.29,USD,DigiKey,0.29,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4P-VH-B/9924221,TH,"Board power input including +5VAUX"
